OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,1,30001,374.610000000000014,2.800000000000000,0.000000000000000,34895,28037,0,0,34895,0,97705,0,0,0
,2,30002,638.019999999999982,16.699999999999999,3.600000000000000,38281,30795,0,0,37411,0,639290,110862,0,0
,3,30003,470.790000000000020,6.600000000000000,2.600000000000000,39419,31720,0,0,37928,0,260163,82471,0,0
,4,30004,779.840000000000032,21.000000000000000,34.399999999999999,38600,31052,0,0,34829,0,810599,1068187,0,0
,5,30005,395.379999999999995,34.799999999999997,73.099999999999994,48741,39331,0,0,43457,0,1696195,2875077,0,0
,6,30006,900.970000000000027,15.100000000000000,44.399999999999999,49954,40297,0,0,43755,0,754312,1789193,0,0
,7,30007,1615.309999999999945,0.000000000000000,345.399999999999977,42245,33912,0,0,33912,0,0,11713285,0,0
,8,30008,501.949999999999989,0.000000000000000,0.000000000000000,26172,21203,0,0,0,0,0,0,0,0
,9,30009,135.460000000000008,12.900000000000000,0.000000000000000,27471,22259,0,0,27471,0,354375,0,0,0
,10,30010,1026.170000000000073,61.600000000000001,12.600000000000000,30229,24504,0,0,29594,0,1862095,308746,0,0
,11,30011,978.570000000000050,42.799999999999997,10.400000000000000,39161,31654,0,0,38193,0,1676108,329204,0,0
,12,30012,743.399999999999977,132.800000000000011,42.600000000000001,49353,39843,0,0,47797,0,6554046,1697327,0,0
,13,30013,203.500000000000000,230.500000000000000,77.200000000000003,47667,38557,2248,1576,46122,2134,10987165,2976587,518256,121684
,14,30014,1254.019999999999982,7.300000000000000,0.000000000000000,45463,36647,0,0,45463,0,331879,0,0,0
,15,30015,410.189999999999998,408.399999999999977,0.000000000000000,51736,41793,0,0,51736,0,21128842,0,0,0
,16,30016,597.250000000000000,24.000000000000000,1.300000000000000,50317,40433,0,0,50001,0,1207612,52563,0,0
,17,30017,274.889999999999986,0.000000000000000,0.000000000000000,59766,48097,0,0,0,0,0,0,0,0
,18,30018,453.970000000000027,15.000000000000000,0.000000000000000,50147,40294,0,0,50147,0,752207,0,0,0
,19,30019,3139.590000000000146,0.000000000000000,8.199999999999999,42652,34172,0,0,34172,0,0,280209,0,0
,20,30020,510.910000000000025,16.100000000000001,238.699999999999989,62036,50276,0,0,51447,0,998772,12000878,0,0
,21,30021,954.919999999999959,0.000000000000000,0.000000000000000,54254,44547,0,0,0,0,0,0,0,0
,22,30022,1402.990000000000009,17.399999999999999,4.500000000000000,71998,58994,0,0,70227,0,1252763,265473,0,0
,23,30023,79.090000000000003,0.000000000000000,9.199999999999999,86336,70554,0,0,70554,0,0,649100,0,0
,24,30024,118.430000000000007,0.000000000000000,0.000000000000000,74013,60627,0,0,0,0,0,0,0,0
,25,30025,309.310000000000002,0.000000000000000,998.700000000000045,55258,44505,0,0,44505,0,0,44447294,0,0
,26,30026,226.710000000000008,10.000000000000000,0.000000000000000,56841,45690,0,0,56841,0,568405,0,0,0
,27,30027,152.620000000000005,216.699999999999989,27.500000000000000,49802,39951,0,0,49094,0,10792000,1098641,0,0
,28,30028,213.129999999999995,115.599999999999994,293.699999999999989,59618,47880,0,0,52485,0,6891825,14062476,0,0
,29,30029,239.590000000000003,133.599999999999994,486.399999999999977,53643,43178,0,0,46429,0,7166690,21001897,0,0
,30,30030,135.199999999999989,115.099999999999994,306.500000000000000,49200,39593,1846,1429,43255,1588,5662888,12135123,212428,437973
,31,30031,202.259999999999991,334.600000000000023,388.100000000000023,47714,38374,1555,1175,43846,1397,15965097,14893123,520180,455944
,32,30032,207.110000000000014,3.000000000000000,2233.500000000000000,56074,45036,1109,850,45060,851,168221,100587906,3328,1898852
,33,30033,101.659999999999997,180.000000000000000,50.700000000000003,48660,39309,3176,2295,47289,3047,8758710,1992960,571736,116362
,34,30034,113.049999999999997,301.300000000000011,207.000000000000000,45054,36599,3326,2463,42558,3071,13574730,7575926,1002013,509779
,35,30035,84.959999999999994,230.199999999999989,5.900000000000000,47292,38244,3382,2361,47152,3367,10886543,225642,778600,13930
