OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,1,30001,374.610000000000014,1.600000000000000,0.000000000000000,35679,27461,0,0,35679,0,57087,0,0,0
,2,30002,638.019999999999982,15.600000000000000,3.500000000000000,39137,30157,0,0,38077,0,610543,105549,0,0
,3,30003,470.790000000000020,5.600000000000000,2.600000000000000,40299,31061,0,0,38295,0,225676,80758,0,0
,4,30004,779.840000000000032,21.000000000000000,26.899999999999999,39462,30408,0,0,35539,0,828696,817967,0,0
,5,30005,395.379999999999995,31.600000000000001,70.299999999999997,49824,38525,0,0,43378,0,1574428,2708273,0,0
,6,30006,900.970000000000027,15.100000000000000,44.000000000000000,51020,39454,0,0,43676,0,770409,1735965,0,0
,7,30007,1615.309999999999945,0.000000000000000,321.100000000000023,42697,32853,0,0,32853,0,0,10549160,0,0
,8,30008,501.949999999999989,0.000000000000000,0.000000000000000,26288,20501,0,0,0,0,0,0,0,0
,9,30009,135.460000000000008,12.300000000000001,0.000000000000000,27599,21524,0,0,27599,0,339469,0,0,0
,10,30010,1026.170000000000073,57.299999999999997,11.500000000000000,30385,23699,0,0,29670,0,1741060,272533,0,0
,11,30011,978.570000000000050,38.899999999999999,7.900000000000000,39444,30636,0,0,38491,0,1534355,242028,0,0
,12,30012,743.399999999999977,104.700000000000003,42.500000000000000,51081,39529,0,0,48828,0,5348129,1679983,0,0
,13,30013,203.500000000000000,230.500000000000000,73.200000000000003,48073,37347,2183,1536,46364,2080,11080828,2733802,503068,112471
,14,30014,1254.019999999999982,6.400000000000000,0.000000000000000,46484,35891,0,0,46484,0,297500,0,0,0
,15,30015,410.189999999999998,273.500000000000000,0.000000000000000,53974,41797,0,0,53974,0,14761990,0,0,0
,16,30016,597.250000000000000,24.000000000000000,1.300000000000000,53023,40870,0,0,52642,0,1272546,53131,0,0
,17,30017,274.889999999999986,0.000000000000000,0.000000000000000,60729,46837,0,0,0,0,0,0,0,0
,18,30018,453.970000000000027,14.900000000000000,0.000000000000000,51781,39893,0,0,51781,0,771537,0,0,0
,19,30019,3139.590000000000146,0.000000000000000,8.199999999999999,44105,33862,0,0,33862,0,0,277667,0,0
,20,30020,510.910000000000025,10.000000000000000,207.400000000000006,63373,49180,0,0,50241,0,633731,10199949,0,0
,21,30021,954.919999999999959,0.000000000000000,0.000000000000000,54992,43057,0,0,0,0,0,0,0,0
,22,30022,1402.990000000000009,13.100000000000000,2.500000000000000,72841,56972,0,0,71218,0,954219,142430,0,0
,23,30023,79.090000000000003,0.000000000000000,9.199999999999999,87532,68193,0,0,68193,0,0,627374,0,0
,24,30024,118.430000000000007,0.000000000000000,0.000000000000000,74906,58575,0,0,0,0,0,0,0,0
,25,30025,309.310000000000002,0.000000000000000,953.899999999999977,55854,43135,0,0,43135,0,0,41146131,0,0
,26,30026,226.710000000000008,0.000000000000000,0.000000000000000,57772,44529,0,0,0,0,0,0,0,0
,27,30027,152.620000000000005,166.599999999999994,16.399999999999999,50873,39182,0,0,50224,0,8475467,642593,0,0
,28,30028,213.129999999999995,92.200000000000003,215.300000000000011,60965,46992,0,0,52829,0,5620975,10117404,0,0
,29,30029,239.590000000000003,106.900000000000006,457.399999999999977,54157,41843,0,0,45308,0,5789334,19139047,0,0
,30,30030,135.199999999999989,111.599999999999994,277.000000000000000,49724,38416,1791,1386,42973,1549,5549156,10641362,199829,383983
,31,30031,202.259999999999991,291.300000000000011,345.300000000000011,48676,37589,1509,1144,44082,1358,14179273,12979594,439617,394990
,32,30032,207.110000000000014,3.000000000000000,2233.599999999999909,57257,44142,1075,824,44171,825,171771,98595378,3225,1840399
,33,30033,101.659999999999997,180.000000000000000,45.600000000000001,49070,38071,3079,2225,47625,2967,8832639,1736024,554184,101465
,34,30034,113.049999999999997,301.300000000000011,202.800000000000011,45397,35444,3217,2297,42544,2953,13678124,7187970,969327,465762
,35,30035,84.959999999999994,230.199999999999989,5.400000000000000,48165,37420,3271,2279,48016,3258,11087517,202068,753060,12308
,36,30036,108.840000000000003,316.399999999999977,59.299999999999997,45548,35607,3753,2657,44548,3642,14411452,2111488,1187359,157531
,37,30037,78.900000000000006,90.000000000000000,184.900000000000006,48300,37421,2823,2121,42308,2436,4347028,6919143,254064,392205
,38,30038,118.120000000000005,338.600000000000023,251.599999999999994,46902,36504,3813,2695,43707,3469,15880958,9184336,1291063,678083
,39,30039,257.170000000000016,223.000000000000000,233.199999999999989,42889,33503,1793,1313,39282,1608,9564158,7812932,399802,306156
,40,30040,56.630000000000003,179.000000000000000,200.099999999999994,46273,36169,3642,2709,42230,3269,8282890,7237516,651967,542149
,41,30041,54.369999999999997,137.000000000000000,8.699999999999999,43171,33813,2312,1727,42829,2291,5914365,294172,316801,15022
,42,30042,64.040000000000006,200.400000000000006,156.699999999999989,46486,36343,3718,2902,43258,3458,9315703,5694941,745013,454746
,43,30043,64.209999999999994,165.199999999999989,12.300000000000001,42676,33447,2495,1851,42284,2467,7050123,411399,412140,22773
,44,30044,42.719999999999999,115.799999999999997,640.200000000000045,44609,34832,3406,2931,37106,3042,5165779,22299381,394446,1876412
,45,30045,43.530000000000001,63.500000000000000,15.199999999999999,45720,35777,2215,1785,44477,2162,2903227,543803,140676,27127
,46,30046,72.920000000000002,196.300000000000011,809.500000000000000,46281,36106,2841,2606,39045,2674,9084979,29227426,557703,2109738
,47,30047,75.010000000000005,168.199999999999989,161.500000000000000,47042,36872,1918,1676,43337,1830,7912457,5954874,322577,270724
,48,30048,31.609999999999999,96.700000000000003,4.800000000000000,42366,33138,0,0,42101,0,4096806,159064,0,0
,49,30049,76.400000000000006,270.000000000000000,3.500000000000000,41045,32222,1417,1053,40978,1414,11082223,112776,382502,3684
,50,30050,31.960000000000001,85.599999999999994,4.600000000000000,39812,31247,0,0,39546,0,3407925,143738,0,0
,51,30051,54.170000000000002,148.599999999999994,4.900000000000000,37438,29406,0,0,37283,0,5563357,144090,0,0
,52,30052,62.250000000000000,150.099999999999994,65.000000000000000,42772,33537,1112,913,40875,1071,6420019,2179874,166848,59343
,53,30053,78.650000000000006,166.300000000000011,9.500000000000000,41777,32753,0,0,41479,0,6947520,311150,0,0
,54,30054,45.979999999999997,97.599999999999994,56.799999999999997,44557,34887,1221,975,42064,1157,4348750,1981557,119154,55376
,55,30055,35.710000000000001,41.299999999999997,6.500000000000000,46316,36344,0,0,45460,0,1912856,236235,0,0
,56,30056,339.170000000000016,82.599999999999994,167.400000000000006,43044,33822,0,0,37995,0,3555426,5661779,0,0
,57,30057,238.460000000000008,121.599999999999994,176.099999999999994,61276,47272,0,0,54784,0,7451201,8324630,0,0
,58,30058,247.939999999999998,197.599999999999994,554.899999999999977,56103,43377,839,617,48133,700,11085963,24070095,165875,342538
,59,30059,188.870000000000005,168.699999999999989,0.000000000000000,55427,42767,0,0,55427,0,9350589,0,0,0
,60,30060,195.740000000000009,279.500000000000000,0.000000000000000,49396,38326,728,585,49396,728,13806213,0,203377,0
,61,30061,230.259999999999991,0.000000000000000,147.500000000000000,54500,42212,0,0,42212,0,0,6226234,0,0
,62,30062,47.719999999999999,98.000000000000000,124.200000000000003,49982,38848,2044,1459,45187,1792,4898223,4824937,200355,181167
,63,30063,45.439999999999998,44.100000000000001,663.500000000000000,53411,41413,2439,2000,42615,2044,2355444,27477698,107564,1327311
,64,30064,77.579999999999998,229.699999999999989,854.399999999999977,47566,36931,3034,2494,40234,2662,10925910,31553730,696931,2130871
,65,30065,34.640000000000001,22.100000000000001,176.400000000000006,52200,40598,2969,2139,42610,2283,1153625,7161407,65608,377347
,66,30066,97.750000000000000,271.000000000000000,68.799999999999997,46842,36647,3954,2739,45501,3794,12694258,2521313,1071590,188452
,67,30067,88.379999999999995,282.100000000000023,123.799999999999997,50893,39689,1845,1463,48567,1765,14356890,4913559,520417,181077
,68,30068,75.150000000000006,210.500000000000000,97.400000000000006,54253,42318,3094,2311,51670,2925,11420261,4121819,651385,225050
,69,30069,85.379999999999995,225.599999999999994,203.000000000000000,52868,41235,3502,2566,48803,3175,11926948,8370676,790064,520928
,70,30070,346.269999999999982,698.500000000000000,1179.000000000000000,60754,47379,2215,1841,54041,2027,42436439,55859660,1546845,2170725
,71,30071,198.150000000000006,588.500000000000000,676.500000000000000,57677,45162,3531,2793,52584,3231,33943069,30551966,2077771,1889758
,72,30072,57.420000000000002,142.000000000000000,108.200000000000003,52096,40835,3958,2878,48576,3621,7397640,4418353,562058,311433
,73,30073,57.770000000000003,28.199999999999999,97.400000000000006,47467,37193,2268,1768,40549,1931,1338580,3622607,63949,172177
,74,30074,56.130000000000003,89.500000000000000,76.099999999999994,46409,36392,1217,923,43037,1118,4153567,2769461,108944,70236
,75,30075,51.310000000000002,145.800000000000011,181.099999999999994,52080,40930,2872,2233,47333,2600,7593201,7412512,418735,404329
,76,30076,52.469999999999999,170.400000000000006,44.200000000000003,49936,39302,1989,1510,48511,1925,8509155,1737141,338950,66726
,77,30077,40.390000000000001,105.200000000000003,22.100000000000001,48798,38387,1354,1045,47638,1319,5133538,848354,142390,23095
,78,30078,101.430000000000007,9.100000000000000,0.000000000000000,45985,36123,0,0,45985,0,418464,0,0,0
,79,30079,334.149999999999977,286.100000000000023,614.500000000000000,51031,40176,1759,1541,44933,1637,14600059,24688244,503332,946915
,80,30080,218.949999999999989,53.600000000000001,0.000000000000000,46800,37252,0,0,46800,0,2508503,0,0,0
,81,30081,113.799999999999997,0.000000000000000,257.800000000000011,63172,49210,3546,2993,49210,2993,0,12686352,0,771560
,82,30082,53.090000000000003,202.300000000000011,294.199999999999989,60154,47109,4730,3856,54093,4324,12169173,13859520,956784,1134491
,83,30083,244.479999999999990,53.600000000000001,498.399999999999977,60926,47604,2578,2143,49638,2210,3265624,23726069,138157,1068172
,84,30084,232.509999999999991,120.400000000000006,319.500000000000000,53787,42643,2602,2393,46956,2474,6475905,13624422,313258,764591
,85,30085,198.229999999999990,173.699999999999989,287.600000000000023,56883,45347,1597,1593,51149,1595,9880619,13041754,277412,458218
,86,30086,109.480000000000004,94.799999999999997,0.000000000000000,49679,39511,0,0,49679,0,4709560,0,0,0
,87,30087,205.870000000000005,101.000000000000000,13.500000000000000,57008,45069,811,900,56126,817,5757832,608431,81900,12154
,88,30088,184.340000000000003,227.599999999999994,149.000000000000000,58686,46791,2008,2241,55344,2074,13356920,6971789,457084,333934
,89,30089,58.409999999999997,75.200000000000003,134.699999999999989,55729,43955,3490,3108,49646,3293,4190845,5920735,262412,418690
,90,30090,140.580000000000013,180.000000000000000,132.500000000000000,54058,42856,2801,2573,50638,2732,9730416,5678358,504255,340932
,91,30091,181.780000000000001,253.400000000000006,39.700000000000003,55722,44429,1992,2003,54756,1993,14119964,1763842,504759,79503
,92,30092,111.310000000000002,210.599999999999994,49.600000000000001,58199,46442,1853,1843,56750,1852,12256609,2303528,390277,91417
,93,30093,56.880000000000003,158.099999999999994,67.700000000000003,61036,48686,2621,2634,58522,2624,9649723,3296013,414380,178354
,94,30094,47.229999999999997,0.000000000000000,0.000000000000000,56603,44863,0,0,0,0,0,0,0,0
,95,30095,116.719999999999999,112.299999999999997,4.900000000000000,62034,49073,1150,1294,61705,1154,6966457,240458,129150,6339
,96,30096,151.300000000000011,181.699999999999989,76.799999999999997,64857,51821,2614,2721,62231,2636,11784450,3979857,474967,208980
,97,30097,169.139999999999986,285.699999999999989,72.900000000000006,62262,49678,2327,2358,60598,2331,17788145,3621528,664926,171900
,98,30098,107.239999999999995,0.000000000000000,0.000000000000000,54308,43067,0,0,0,0,0,0,0,0
,99,30099,195.099999999999994,199.099999999999994,15.800000000000001,63455,50272,979,1082,62859,984,12633960,794291,194997,17089
,100,30100,98.769999999999996,113.400000000000006,11.300000000000001,68024,54338,2491,2626,67255,2499,7713880,614018,282525,29679
,101,30101,196.110000000000014,185.099999999999994,45.899999999999999,66887,53489,2296,2416,65159,2311,12380695,2455123,424921,110916
,102,30102,55.079999999999998,0.000000000000000,0.000000000000000,65935,52426,0,0,0,0,0,0,0,0
,103,30103,95.609999999999999,0.000000000000000,0.000000000000000,70654,55993,916,1031,0,0,0,0,0,0
,104,30104,89.620000000000005,182.400000000000006,0.000000000000000,71620,56998,2304,2432,71620,2304,13063558,0,420338,0
,105,30105,138.830000000000013,5.900000000000000,0.000000000000000,69467,54853,0,0,69467,0,409856,0,0,0
,106,30106,174.889999999999986,39.100000000000001,0.000000000000000,75093,59322,776,881,75093,776,2936130,0,30326,0
,107,30107,205.050000000000011,47.899999999999999,0.000000000000000,72521,57695,1771,1927,72521,1771,3473768,0,84827,0
,108,30108,140.879999999999995,46.700000000000003,1.800000000000000,74241,59153,2598,2796,73902,2602,3467047,106475,121315,5033
,109,30109,89.579999999999998,3.000000000000000,100.900000000000006,89931,70039,0,0,70983,0,269793,7066939,0,0
,110,30110,107.659999999999997,23.500000000000000,20.899999999999999,85093,66609,849,966,78683,890,1999679,1392118,19952,20195
,111,30111,104.180000000000007,24.899999999999999,19.800000000000001,79997,63236,2213,2397,74602,2272,1991925,1252073,55113,47455
,112,30112,70.299999999999997,17.100000000000001,0.000000000000000,78514,62296,2585,2782,78514,2585,1342582,0,44206,0
,113,30113,225.219999999999999,40.799999999999997,1.000000000000000,82251,64525,969,1081,81996,970,3355861,64525,39517,1081
,114,30114,114.849999999999994,49.299999999999997,6.700000000000000,76876,61637,2570,2719,75733,2581,3790005,412965,126709,18217
,115,30115,152.889999999999986,32.899999999999999,2.300000000000000,75904,60882,2229,2367,75303,2235,2497252,140028,73348,5444
,116,30116,126.739999999999995,71.900000000000006,0.000000000000000,72463,58535,1087,1183,72463,1087,5210071,0,78141,0
,117,30117,61.969999999999999,62.500000000000000,62.500000000000000,77771,62714,2609,2681,72144,2636,4860711,3919647,163055,167546
,118,30118,172.330000000000013,175.099999999999994,16.800000000000001,75983,61392,2042,2132,75192,2047,13304554,1031391,357640,35818
,119,30119,127.409999999999997,90.500000000000000,0.000000000000000,75010,60586,1200,1285,75010,1200,6788450,0,108613,0
,120,30120,100.180000000000007,76.099999999999994,8.100000000000000,79872,64342,1918,2005,78944,1923,6078245,521173,145958,16238
,121,30121,125.109999999999999,69.799999999999997,2.600000000000000,78961,63645,1888,1973,78627,1890,5511447,165476,131804,5131
,122,30122,245.139999999999986,47.299999999999997,0.000000000000000,84258,67711,2177,2198,84258,2177,3985423,0,102961,0
,123,30123,174.389999999999986,79.700000000000003,1.000000000000000,84497,67897,2253,2266,84374,2253,6734417,67897,179595,2266
,124,30124,409.220000000000027,143.400000000000006,12.699999999999999,89765,71788,1960,1871,88862,1955,12872237,911712,281044,23765
,125,30125,206.879999999999995,107.799999999999997,30.899999999999999,91914,73403,2553,2414,89210,2533,9908348,2268154,275211,74593
,126,30126,289.050000000000011,196.900000000000006,26.100000000000001,106500,83752,2546,2223,104832,2523,20969903,2185915,501398,58012
,127,30127,456.860000000000014,277.800000000000011,20.300000000000001,96437,76606,1664,1511,95608,1657,26790075,1555110,462135,30681
,128,30128,484.120000000000005,252.400000000000006,84.599999999999994,112961,88452,3846,3204,108875,3739,28511336,7483080,970679,271065
,129,30129,172.180000000000007,63.000000000000000,1.300000000000000,110749,86821,4128,3474,110458,4120,6977186,112867,260054,4516
,130,30130,147.590000000000003,3.800000000000000,0.000000000000000,90886,72682,0,0,90886,0,345367,0,0,0
,131,30131,950.539999999999964,4.600000000000000,10.699999999999999,89832,72256,0,0,79615,0,413229,773142,0,0
