OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,2842,492842,256.579999999999984,42.799999999999997,0.000000000000000,44869,30028,0,0,44869,0,1920387,0,0,0
,2843,492843,340.259999999999991,1.000000000000000,0.000000000000000,48708,32186,0,0,48708,0,48708,0,0,0
,2844,492844,224.430000000000007,0.800000000000000,0.000000000000000,45116,29879,0,0,45116,0,36093,0,0,0
,2845,492845,140.330000000000013,3.000000000000000,0.000000000000000,51905,33932,0,0,51905,0,155715,0,0,0
,2846,492846,188.560000000000002,0.000000000000000,0.000000000000000,45173,30031,0,0,0,0,0,0,0,0
,2847,492847,95.819999999999993,0.800000000000000,4.200000000000000,47972,31648,0,0,35831,0,38377,132922,0,0
,2848,492848,128.539999999999992,1.000000000000000,0.000000000000000,48007,31769,0,0,48007,0,48007,0,0,0
,2849,492849,258.839999999999975,414.500000000000000,0.000000000000000,49451,32469,610,339,49451,610,20497559,0,252728,0
,2850,492850,189.240000000000009,188.099999999999994,22.000000000000000,52521,34376,1007,557,51419,980,9879156,756280,189384,12264
,2851,492851,98.079999999999998,153.000000000000000,211.900000000000006,55515,36188,1999,1119,47134,1617,8493774,7668164,305803,237167
,2852,492852,1601.609999999999900,4.000000000000000,0.000000000000000,20572,13936,0,0,20572,0,82286,0,0,0
,2853,492853,1465.059999999999945,38.799999999999997,0.000000000000000,24749,17343,0,0,24749,0,960261,0,0,0
,2854,492854,1953.190000000000055,139.400000000000006,0.000000000000000,38775,26415,0,0,38775,0,5405171,0,0,0
,2855,492855,2134.880000000000109,85.599999999999994,85.500000000000000,36601,25138,0,0,32523,0,3133072,2149333,0,0
,2856,492856,352.060000000000002,44.799999999999997,0.000000000000000,40141,27377,0,0,40141,0,1798295,0,0,0
,2857,492857,414.480000000000018,56.799999999999997,27.600000000000001,44628,29899,0,0,41509,0,2534855,825214,0,0
,2858,492858,698.039999999999964,24.800000000000001,13.199999999999999,46481,30969,0,0,42954,0,1152727,408795,0,0
,2859,492859,16775.419999999998254,23.800000000000001,1.800000000000000,14027,12141,0,0,13951,0,333836,21854,0,0
,2860,492860,8290.729999999999563,1.000000000000000,0.000000000000000,15824,12667,0,0,15824,0,15824,0,0,0
,2861,492861,3677.769999999999982,0.000000000000000,0.000000000000000,17952,14053,0,0,0,0,0,0,0,0
,2862,492862,3227.750000000000000,28.000000000000000,2.000000000000000,19991,15081,0,0,19805,0,559760,30161,0,0
,2863,492863,2562.489999999999782,30.000000000000000,0.800000000000000,23102,17021,0,0,23014,0,693070,13616,0,0
,2864,492864,2386.320000000000164,108.500000000000000,30.399999999999999,26557,18990,0,0,25542,0,2881454,577281,0,0
,2865,492865,10193.909999999999854,29.000000000000000,2.400000000000000,18400,13825,0,0,18200,0,533603,33181,0,0
,2866,492866,4012.079999999999927,21.399999999999999,0.000000000000000,24094,17516,0,0,24094,0,515619,0,0,0
,2867,492867,432.370000000000005,186.400000000000006,1.000000000000000,28202,20143,0,0,28178,0,5256825,20143,0,0
,2868,492868,484.519999999999982,101.200000000000003,0.000000000000000,29735,21037,0,0,29735,0,3009157,0,0,0
,2869,492869,2528.489999999999782,12.800000000000001,0.000000000000000,21128,15276,0,0,21128,0,270441,0,0,0
,2870,492870,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0
,2871,492871,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0
,2872,492872,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0
,2873,492873,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0,0,0
,2874,492874,774.460000000000036,0.000000000000000,0.000000000000000,47314,29163,0,0,0,0,0,0,0,0
,2875,492875,278.610000000000014,0.000000000000000,0.000000000000000,83828,42412,0,0,0,0,0,0,0,0
,2876,492876,409.610000000000014,0.000000000000000,0.000000000000000,72501,43633,0,0,0,0,0,0,0,0
,2877,492877,542.019999999999982,0.000000000000000,0.000000000000000,60891,38478,0,0,0,0,0,0,0,0
,2878,492878,507.810000000000002,0.000000000000000,0.000000000000000,11226,7738,0,0,0,0,0,0,0,0
,2879,492879,365.579999999999984,0.000000000000000,0.000000000000000,59915,38357,0,0,0,0,0,0,0,0
