OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,1,30001,374.610000000000014,1.200000000000000,0.000000000000000,34200,24359,0,0,34200,0,41040,0,0,0
,2,30002,638.019999999999982,15.300000000000001,3.600000000000000,37515,26760,0,0,36241,0,573975,96335,0,0
,3,30003,470.790000000000020,5.200000000000000,2.600000000000000,38629,27567,0,0,36172,0,200869,71675,0,0
,4,30004,779.840000000000032,21.000000000000000,23.600000000000001,37824,26982,0,0,33586,0,794299,636785,0,0
,5,30005,395.379999999999995,30.800000000000001,69.299999999999997,47761,34214,0,0,40143,0,1471028,2371019,0,0
,6,30006,900.970000000000027,15.100000000000000,43.899999999999999,48899,35044,0,0,40252,0,738372,1538436,0,0
,7,30007,1615.309999999999945,0.000000000000000,274.300000000000011,40824,29117,0,0,29117,0,0,7986673,0,0
,8,30008,501.949999999999989,0.000000000000000,0.000000000000000,25086,18285,0,0,0,0,0,0,0,0
,9,30009,135.460000000000008,12.199999999999999,0.000000000000000,26341,19194,0,0,26341,0,321364,0,0,0
,10,30010,1026.170000000000073,56.200000000000003,10.800000000000001,29009,21127,0,0,28230,0,1630300,228177,0,0
,11,30011,978.570000000000050,37.899999999999999,6.900000000000000,37692,27290,0,0,36712,0,1428514,188303,0,0
,12,30012,743.399999999999977,43.200000000000003,42.600000000000001,48875,35142,0,0,43928,0,2111402,1497051,0,0
,13,30013,203.500000000000000,224.099999999999994,66.099999999999994,45955,33252,2059,1463,44124,1973,10298412,2197975,461512,96723
,14,30014,1254.019999999999982,6.200000000000000,0.000000000000000,44557,31864,0,0,44557,0,276251,0,0,0
,15,30015,410.189999999999998,14.800000000000001,0.000000000000000,51794,37121,0,0,51794,0,766559,0,0,0
,16,30016,597.250000000000000,23.800000000000001,1.300000000000000,50746,36269,0,0,50308,0,1207752,47150,0,0
,17,30017,274.889999999999986,0.000000000000000,0.000000000000000,58151,41588,0,0,0,0,0,0,0,0
,18,30018,453.970000000000027,14.199999999999999,0.000000000000000,49569,35415,0,0,49569,0,703884,0,0,0
,19,30019,3139.590000000000146,0.000000000000000,8.199999999999999,42217,30044,0,0,30044,0,0,246361,0,0
,20,30020,510.910000000000025,0.000000000000000,152.000000000000000,61318,44151,0,0,44151,0,0,6710966,0,0
,21,30021,954.919999999999959,0.000000000000000,0.000000000000000,52831,38237,0,0,0,0,0,0,0,0
,22,30022,1402.990000000000009,5.000000000000000,1.100000000000000,69945,50608,0,0,67787,0,349726,55668,0,0
,23,30023,79.090000000000003,0.000000000000000,9.199999999999999,84909,61134,0,0,61134,0,0,562433,0,0
,24,30024,118.430000000000007,0.000000000000000,0.000000000000000,73626,53230,0,0,0,0,0,0,0,0
,25,30025,309.310000000000002,0.000000000000000,870.299999999999955,53487,38272,0,0,38272,0,0,33307883,0,0
,26,30026,226.710000000000008,0.000000000000000,0.000000000000000,55335,39547,0,0,0,0,0,0,0,0
,27,30027,152.620000000000005,48.600000000000001,5.100000000000000,50456,36096,0,0,49644,0,2452156,184090,0,0
,28,30028,213.129999999999995,42.399999999999999,96.299999999999997,58943,42164,0,0,49469,0,2499190,4060368,0,0
,29,30029,239.590000000000003,48.600000000000001,402.399999999999977,51817,37172,0,0,39729,0,2518282,14958138,0,0
,30,30030,135.199999999999989,101.700000000000003,219.199999999999989,48427,34799,1691,1312,40908,1482,4924978,7627936,171969,287554
,31,30031,202.259999999999991,219.400000000000006,261.199999999999989,47677,34249,1427,1089,42243,1290,10460422,8945928,313004,284438
,32,30032,207.110000000000014,2.800000000000000,2233.699999999999818,55220,39520,1013,783,39555,783,154617,88276211,2838,1747916
,33,30033,101.659999999999997,176.099999999999994,35.899999999999999,46905,33884,2901,2102,45547,2817,8259959,1216431,510805,75447
,34,30034,113.049999999999997,301.300000000000011,195.400000000000006,43523,31676,3023,2162,40321,2790,13113379,6189511,910879,422398
,35,30035,84.959999999999994,229.000000000000000,4.700000000000000,46309,33512,3067,2126,46161,3057,10604705,157506,702450,9994
,36,30036,108.840000000000003,316.399999999999977,58.899999999999999,43761,31891,3540,2507,42620,3441,13845825,1878407,1120213,147670
,37,30037,78.900000000000006,88.799999999999997,166.900000000000006,46466,33530,2689,1971,39769,2317,4126185,5596106,238784,328938
,38,30038,118.120000000000005,338.600000000000023,243.699999999999989,45107,32724,3603,2535,41500,3292,15273313,7974814,1220001,617845
,39,30039,257.170000000000016,212.599999999999994,206.400000000000006,40976,29848,1693,1257,37008,1537,8711577,6160674,359898,259405
